scd,gender,age_grp,weekday,total_qty,total_amt,event_product,amt/qty,num_category,ctg_0,ctg_1,ctg_2,ctg_3,prime_yn
20230101963226,1,3,0,6,39.433805771984794,2,7.609629195356371,1,0,0,1,0,0
20230101963235,0,4,0,2,19.234565657415075,2,9.617282828707538,2,1,0,0,0,1
20230101963247,1,3,0,6,45.51685547007837,0,8.070211654903162,3,1,1,0,0,1
20230101963251,0,3,0,2,10.845621454367802,0,5.422810727183901,1,0,0,0,1,1
20230101963253,1,2,0,6,47.0147423746736,0,8.445540444931016,3,1,1,0,0,1
20230101963257,0,4,0,1,10.248105097311578,0,10.248105097311578,1,0,0,0,1,1
20230101963276,1,2,0,5,46.54726573822178,0,9.309453147644357,4,1,1,0,0,1
20230101963279,1,3,0,6,21.564431604135972,0,6.0566010189745185,2,0,0,0,1,1
20230101963294,1,5,0,12,88.20347432533697,0,7.945893608473976,6,1,1,1,1,1
20230101963305,0,5,0,4,10.702727480606711,1,2.675681870151678,1,0,0,1,0,1
20230101963317,1,6,0,3,11.231198956223722,1,3.7437329854079073,1,0,0,0,1,0
20230101963357,0,3,0,9,76.15573648923274,1,8.461748498803637,5,1,1,1,1,1
20230101963377,1,2,0,11,91.1284365253931,0,8.284403320490282,2,1,0,1,0,0
20230101963403,0,3,0,11,86.45647526071176,0,8.270842658812379,5,1,1,1,1,0
20230101963415,1,2,0,1,9.142489705068009,0,9.142489705068009,1,1,0,0,0,1
20230101963417,1,3,0,2,11.391288763472756,1,5.695644381736378,1,1,0,0,0,1
20230101963419,1,2,0,12,12.500360352658946,1,1.041696696054912,1,1,0,0,0,1
20230101963448,0,5,0,11,98.09659884266594,0,9.197897490312943,4,1,0,1,1,1
20230101963454,1,4,0,38,235.68590306797998,0,6.876340206799675,3,1,1,1,0,1
20230101963482,1,2,0,3,11.132309054831454,0,3.710769684943818,1,1,0,0,0,0
20230101963491,0,4,0,3,11.809564801089715,1,3.9365216003632386,1,1,0,0,0,1
20230101963501,0,4,0,8,65.4753361300567,0,8.619601070164805,3,1,0,0,1,0
20230101963537,1,3,0,7,53.60036808286456,0,8.164781738056286,5,1,1,1,0,1
20230101963555,0,5,0,4,36.46994877690789,1,9.117487194226973,3,1,0,1,1,1
20230101963586,0,3,0,26,170.89941531827472,0,7.517304288357485,4,1,1,1,0,1
20230101963598,0,3,0,3,21.138146774011144,2,7.804756772526119,1,1,0,0,0,0
20230101963602,0,5,0,15,113.19537220059355,0,8.268005025015865,4,1,1,1,1,1
20230101963613,1,2,0,14,127.04159557084114,0,9.07439968363151,6,1,1,1,1,1
20230101963624,1,4,0,17,146.12686641239458,1,8.595698024258505,2,1,0,1,0,1
20230101963635,0,5,0,17,136.09714786044276,1,8.44095458042138,7,1,1,1,1,1
20230101963650,0,3,0,1,10.867386798325008,0,10.867386798325008,1,0,0,1,0,0
20230101963670,1,4,0,1,12.086291990961044,1,12.086291990961044,1,0,0,0,1,1
20230101963681,1,4,0,2,16.743256399829402,0,8.371628199914701,1,1,0,0,0,1
20230101963726,0,4,0,1,10.710967378552104,1,10.710967378552104,1,1,0,0,0,1
20230101963733,0,4,0,1,9.316500567804573,1,9.316500567804573,1,0,0,1,0,1
20230101963734,0,4,0,8,62.91601451112649,0,8.303045426151462,1,0,1,0,0,1
20230101963759,0,2,0,3,28.979815814309397,0,9.659938604769799,2,1,0,0,0,1
20230101963790,0,3,0,17,98.26322161890748,0,7.185759537435998,4,1,1,1,0,0
20230101963804,1,2,0,4,10.363472411086745,0,2.590868102771686,1,1,0,0,0,0
20230101963838,1,3,0,30,25.60157159258771,2,0.9547989302187622,2,1,0,0,1,1
20230101963874,1,3,0,53,66.44995513467212,0,2.0064578118752547,2,1,0,1,0,1
20230101963877,0,2,0,8,56.23013474462869,1,7.935817557846145,4,0,1,1,1,0
20230101963883,0,3,0,5,11.930391605086411,1,2.3860783210172825,1,1,0,0,0,1
20230101963893,1,4,0,5,36.81010984085944,0,7.987341717145723,2,1,1,0,0,0
20230101963901,1,4,0,1,12.685831660886013,1,12.685831660886013,1,0,0,0,1,0
20230101963919,1,2,0,9,45.75422708727804,1,6.593613496397656,4,1,1,1,1,1
20230101963939,1,3,0,2,20.014876734206197,2,10.007438367103099,2,1,0,0,1,1
20230101963943,1,5,0,11,70.31407925092442,0,7.857938070953599,4,1,1,1,1,1
