scd,gender,age_grp,weekday,total_qty,total_amt,event_product,amt/qty,num_category,ctg_0,ctg_1,ctg_2,ctg_3,prime_yn
20230101963244,0,4,0,3,10.234372782288558,0,3.411457594096186,1,0,1,0,0,1
20230101963277,1,3,0,1,9.190035618635818,0,9.190035618635818,1,0,0,0,1,1
20230101963302,0,4,0,17,83.44628039751449,0,7.574948383127447,7,1,1,1,1,0
20230101963319,1,4,0,23,73.4526528393645,0,4.093077431829527,3,1,1,1,0,0
20230101963336,0,3,0,30,119.94349622614142,0,6.208069088120404,7,1,1,1,1,1
20230101963345,1,4,0,1,9.566685261452934,0,9.566685261452934,1,1,0,0,0,0
20230101963352,0,5,0,7,52.76246372543832,0,8.040943688116709,3,0,1,1,0,1
20230101963356,1,4,0,4,18.59848611812822,0,5.987710209877051,2,0,1,0,0,0
20230101963359,0,3,0,7,61.152603454513155,0,8.736086207787594,4,1,0,1,1,1
20230101963360,0,4,0,1,9.053569596026234,0,9.053569596026234,1,0,0,0,1,0
20230101963361,0,5,0,1,10.62815762466823,0,10.62815762466823,1,0,0,0,1,0
20230101963362,0,4,0,14,36.990667954942,0,2.7449227187976994,3,0,1,1,0,1
20230101963370,1,4,0,7,52.218480733514625,0,7.939650944936987,5,0,1,1,1,1
20230101963383,0,4,0,8,48.43841781659355,0,7.295582888686863,4,1,0,1,1,0
20230101963394,0,4,0,8,36.99941523619241,0,6.396884891549286,4,1,1,1,0,1
20230101963443,1,3,0,2,10.259797429846149,0,5.129898714923074,1,1,0,0,0,0
20230101963474,1,2,0,28,127.03946772290584,0,6.89053511506333,5,1,1,1,0,0
20230101963496,0,5,0,8,53.09721576418068,0,7.275297669416503,3,1,1,1,0,0
20230101963497,1,2,0,11,28.98868065285887,0,3.579739693289664,2,0,1,0,0,1
20230101963504,0,3,0,7,38.4128902601269,0,6.107119549322295,4,1,1,1,0,0
20230101963505,0,3,0,20,11.65789988570203,0,0.5828949942851015,1,1,0,0,0,0
20230101963506,1,3,0,41,31.727057382200208,0,3.7983748559635693,1,0,0,1,0,1
20230101963514,1,3,0,23,48.22534367989964,0,2.2283900107068324,2,0,0,1,1,1
20230101963518,0,4,0,14,79.77082212336663,0,6.825839518060089,3,1,1,1,0,0
20230101963524,0,4,0,10,68.47274555918962,1,7.448392946316726,5,1,1,1,0,1
20230101963529,1,4,0,12,84.26980755842136,0,7.560247170857541,6,1,1,1,1,1
20230101963545,1,5,0,4,20.79396858669132,1,6.571491193612962,2,1,0,1,0,1
20230101963548,0,4,0,28,135.36311731858834,0,6.40563164895076,7,1,1,1,1,1
20230101963580,0,5,0,7,11.766784430945284,0,1.680969204420755,1,0,0,0,1,1
20230101963597,0,4,0,2,19.57900999244028,0,9.78950499622014,1,1,0,0,0,1
20230101963599,0,5,0,12,52.162489419101924,0,6.62914554956473,5,1,1,1,0,1
20230101963600,0,4,0,1,11.080618310893968,1,11.080618310893968,1,0,0,0,1,0
20230101963612,1,5,0,4,25.744967655960323,0,7.1285452908119495,3,1,1,1,0,1
20230101963615,0,4,0,5,10.182292842675238,0,2.0364585685350476,1,0,0,1,0,0
20230101963616,1,3,0,1,8.861350110795998,0,8.861350110795998,1,0,1,0,0,1
20230101963626,1,4,0,2,9.27995971385624,0,4.63997985692812,1,0,1,0,0,1
20230101963632,0,4,0,6,9.361773075736393,0,1.560295512622732,1,0,0,1,0,1
20230101963646,0,4,0,11,69.07089700727765,0,7.307044287736217,6,1,1,1,0,1
20230101963649,0,4,0,5,44.22262147421603,0,8.844524294843206,4,1,1,0,0,0
20230101963658,0,4,0,1,9.50181524266666,1,9.50181524266666,1,1,0,0,0,1
20230101963664,1,4,0,23,121.64584690615078,0,7.20718922288331,5,1,1,1,0,1
