category,item
0010,[쿡킷] 캠핑C세트 (새우가득 김치필라프+흑후추항정살스테이크)
0010,[지정일 택배배송][쿡킷] 새우 가득 김치 필라프
0010,[지정일 택배배송][쿡킷] 부채살 찹스테이크
0010,[지정일 택배배송][쿡킷] 밀푀유나베
0010,[쿡킷] 캠핑B세트 (얼큰 소고기샤브샤브+우삼겹순두부찌개)
0010,[지정일 택배배송][쿡킷] 우삼겹순두부찌개
0010,[지정일 택배배송][쿡킷] 달래된장전골
0010,[지정일 택배배송][쿡킷] 얼큰 소고기샤브샤브
0010,육수가득 소불고기 전골_밀키트
0010,[지정일 택배배송][쿡킷] 육개장 칼국수
0010,[지정일 택배배송][쿡킷] 사골황태국
0010,[지정일 택배배송][쿡킷] 버섯소불고기
0010,[지정일 택배배송][쿡킷] 소고기뭇국
0010,[지정일 택배배송][쿡킷] 토마토비프스튜
0010,[쿡킷] 캠핑A세트 (청경채 소고기볶음+토마토비프스튜)
0010,완도 전복 미역국_밀키트
0010,[지정일 택배배송][쿡킷] 시래기된장국
0010,[지정일 택배배송][쿡킷] 흑후추 항정살 스테이크
0010,[지정일 택배배송][쿡킷] 우삼겹샤브샤브
0010,[지정일 택배배송][쿡킷] 청경채 소고기볶음
0010,[지정일 택배배송][쿡킷] 수삼양지수육전골
0010,[지정일 택배배송][쿡킷] 소고기두부전골
0010,[지정일 택배배송][쿡킷] 얼큰소고기우거지탕
0010,[지정일 택배배송][쿡킷] 스팸리치치즈존슨탕
0010,[지정일 택배배송][쿡킷] 더건강한 닭가슴살 토마토리조또
0010,[지정일 택배배송][쿡킷] 칼칼한 순두부 스팸김치찜
0010,스페인식 감바스_밀키트
0010,[택배배송] 얼큰 버섯 비비고 만두 전골_밀키트 (유통기한 23.08.30까지)
0010,얼큰 버섯 비비고 만두 전골_밀키트
0010,트러플 부채살 찹스테이크_밀키트
0010,[택배배송] 해물 짬뽕 비비고 만두 전골_밀키트 (유통기한 23.09.14까지)
0010,해물 짬뽕 비비고 만두 전골_밀키트
0010,얼큰시원 동태탕_밀키트
0010,스팸듬뿍 부대찌개_밀키트
0010,[지정일 택배배송][쿡킷] 평양식 어복쟁반
0010,탱글탱글 불쭈꾸미볶음_밀키트(유통기한 : 23.08.01)
