category,item
0020,[1+1]고메 갈릭치즈 피자 325g
0020,고메 갈릭치즈 피자 325g
0020,비비고 왕교자 1.05kg
0020,[1+1]고메 크리스피너겟 450g
0020,고메 바삭쫄깃한 탕수육 450g
0020,[소바바 치밥SET] 소이허니 순살 375g x2개+새우볶음밥 420g x2개
0020,[맵단 순살SET] 소이허니 순살 375g x2개+순살치킨 고추 450g x1개
0020,[소바바치킨SET] 소이허니 순살 375g x3개
0020,[소바바+치즈볼SET] 소이허니 순살 375g x1개+소이허니 윙 300g x1개+소이허니 봉 300g x1개+치즈볼 270g x1개
0020,[소바바+피자SET] 소이허니 순살 375g x1개+소이허니 윙 300g x1개+소이허니 봉 300g x1개+고메 칠리감바스피자 350g x1개
0020,[소바바FULLSET] 소이허니 순살 375g x2개+소이허니 윙 300g x1개+소이허니 봉 300g x1개
0020,비비고 진한고기만두400g*2번들
0020,비비고 만두 골라담기
0020,고메 중화짬뽕 652g
0020,고메 중화요리 골라담기
0020,고메 크리스피너겟 450g
0020,[고메 소바바치킨] 소이허니 순살 375g
0020,비비고 물만두 370gx2개
0020,[1+1]고메 화끈불닭봉 355g
0020,[1+1]고메 숯불향오븐구이 400g
0020,비비고 왕교자 455gx2개
0020,[소바바치킨SET] 소이허니 윙 300g x3개
0020,고메 화끈불닭봉 355g
0020,비비고 교자만두 골라담기
0020,비비고 김치 왕교자 420gx2개
0020,고메 숯불향오븐구이 400g
0020,[고메 소바바치킨] 소이허니 윙 300g
0020,비비고 수제진한김치만두 400gx2
0020,고메치킨 후라이드550g
0020,[1+1]고메 스윗치즈 피자 325g
0020,[소바바치킨SET] 소이허니 봉 300g x3개
0020,[2+2]고메 꿀고구마치즈 피자 140g
0020,[1+1]고메 칠리감바스 피자 350g
0020,고메 바삭탱글한 칠리새우 300g
0020,비비고 새우왕교자 315gx2번들
0020,고메 간식 골라담기
0020,고메 스윗치즈 피자 325g
0020,[2+2]고메 허니베이컨체다 피자 135g
0020,[1+1]고메 토마토치즈 피자 345g
0020,[고메 소바바치킨] 소이허니 봉 300g
0020,[1+1]고메 알싸쯔란봉 355g
0020,고메 바삭쫄깃한 탕수육 900g
0020,고메 칠리감바스 피자 350g
0020,[1+1][식물성] 플랜테이블 왕교자 420g*2 (유통기한 23.10.04까지)
0020,고메 싱글피자 골라담기
0020,고메 꿀고구마치즈 피자 140g
0020,고메 토마토치즈 피자 345g
0020,고메 알싸쯔란봉 355g
0020,고메 중화짜장 760g
0020,고메 클래식 콤비네이션 피자 405g
0020,[식물성] 플랜테이블 왕교자 420g*2 (유통기한 23.10.04까지)
0020,고메 허니베이컨체다 피자 135g
0020,비비고 바삭군교자 360g*2
0020,고메 바삭촉촉한 깐풍기 450g
0020,비비고 깻잎고기만두400g*2
0020,[2+2]고메 케이준프라이즈 피자 145g
0020,고메 시카고피자 골라담기
0020,고메 페퍼로니토마토 시카고피자 390g
0020,비비고 매운왕교자 385gx2번들
0020,고메 로제크림치킨 시카고피자 400g
0020,고메 순살크리스피 치킨 고추크런치 450g
0020,[1+1]비비고X호족반 트러플감자전만두 350g*2번들 (유통기한 23.08.28까지)
